q1,q2,q3,q4,q5,q6,x,y,z
-1.51,-0.763,1.85,-0.817,0.912,2.32,-0.0947,0.15,0.301
-2.84,0.52,1.58,-1.27,-1.39,0.617,0.142,-0.1,0.225
-1.23,0.695,1.22,-1.13,0.0343,6.27,-0.0833,0.223,0.206
-1.99,1.06,1.74,-1.76,-1.24,4.76,0.135,-0.0314,0.37
1.05,0.836,1.34,-1.89,0.484,4.38,-0.056,-0.229,0.26
0.762,-0.717,1.86,1.25,0.477,6.11,-0.168,-0.0712,0.245
-0.0943,-1.01,1.35,2.37,-0.635,4.87,0.00422,-0.0616,0.12
-1.38,1.39,1.34,-2.53,0.626,3.61,-0.0954,0.235,0.355
2.75,-0.358,1.65,-1.48,-1.28,3.17,-0.00242,-0.15,0.209
-1.42,-0.747,1.28,-0.146,-1.03,0.128,0.0448,-0.169,0.049
-1.45,0.275,1.48,0.886,0.0866,1.92,-0.0137,0.192,0.238
-1.35,-1.71,1.9,-0.82,0.82,1.58,-0.102,0.0977,0.164
2.75,1.16,1.73,-1.54,-1.09,3.3,0.00315,-0.142,0.382
-0.627,1.54,1.35,-1.51,-0.372,3.73,-0.107,0.143,0.427
-1.61,0.948,1.49,-1.74,1.15,6.27,-0.127,0.153,0.286
-0.781,0.553,1.69,2.46,-1.87,2.76,-0.0267,-0.0989,0.34
2.46,0.803,1.67,1.47,1.72,0.0913,-0.0688,-0.131,0.282
-0.788,-0.958,1.6,1.4,-1.69,5.18,-0.0593,-0.144,0.227
-0.661,-0.955,1.79,0.764,1.85,1.61,0.0135,0.113,0.358
1.46,0.184,1.53,-2.1,0.0114,0.134,-0.0187,-0.188,0.235
2.59,0.987,1.91,1.89,-1.7,0.346,0.0249,0.147,0.333
-0.384,-1.81,1.47,-0.282,1.16,5.74,-0.0124,-0.0354,0.193
1.93,1.48,1.46,-0.987,-0.478,3.29,0.00733,-0.178,0.422
-1.76,1.67,1.86,1.41,-0.603,1.5,-0.0913,-0.0381,0.445
1.08,0.897,1.69,2.69,1.92,3.93,-0.114,-0.0859,0.191
-1.56,-0.602,1.64,-1.2,-0.897,2.76,0.106,0.0624,0.148
-0.372,-0.563,1.25,-1.73,0.15,1.14,-0.00726,-0.0204,0.0421
-1.27,0.883,1.67,-0.906,1.67,3.56,-0.102,-0.0596,0.331
1.73,-0.27,1.41,-1.15,-1.46,0.356,-0.136,0.00596,0.11
-0.732,0.298,1.61,-1.28,-0.557,4.01,-0.0809,0.172,0.264
-0.661,0.411,1.84,2.52,-1.55,2.42,-0.0194,-0.0938,0.413
1.41,1.45,1.43,1.88,1.75,1.91,-0.16,-0.125,0.258
1.65,-1.6,1.9,0.663,-0.27,1.21,0.0273,-0.0403,0.106
1.49,-1.17,1.45,0.108,-0.642,0.125,0.0204,0.14,0.0916
-2.39,1.5,1.59,1.09,1.85,5.98,0.086,-0.0912,0.282
-0.0447,-1.66,1.79,2.27,1.41,5.69,0.0991,0.107,0.215
0.558,1.09,1.59,-1.27,0.514,3.22,-0.0576,-0.117,0.413
1.31,0.825,1.25,-0.137,-1.48,0.41,-0.0708,-0.185,0.0548
-2.73,-1.79,1.48,0.172,-0.808,6.18,-0.218,-0.0764,0.223
0.797,1.13,1.68,0.665,0.00734,1.65,-0.0695,-0.0702,0.446
-1.12,-1.23,1.27,-0.0218,1.95,2.46,0.00279,-0.0126,0.3
2.08,-1.69,1.55,0.667,-0.728,0.434,-0.0298,0.177,0.17
-1.0,1.89,1.89,0.596,-0.937,4.26,-0.0502,-0.0448,0.447
1.04,-1.19,1.42,-2.02,0.748,2.33,0.138,0.0569,0.116
0.836,-1.75,1.84,-2.31,-0.972,0.577,-0.13,-0.0102,0.174
0.379,0.35,1.78,-2.22,-0.925,3.78,-0.107,0.058,0.404
1.38,-1.23,1.41,-1.85,-0.474,2.37,-0.0517,0.0722,0.109
-2.37,1.27,1.72,0.106,-0.805,2.21,0.102,0.114,0.406
-1.53,-1.32,1.7,-2.06,-0.844,1.14,0.094,0.0699,0.174
-0.264,-1.83,1.75,0.341,1.52,2.15,-0.0947,0.0765,0.237
-2.22,1.11,1.23,-0.0123,1.54,5.97,0.0264,0.0375,0.317
-1.11,-1.5,1.24,1.8,-0.44,5.61,0.027,-0.194,0.154
1.06,-1.04,1.36,1.28,-1.31,2.81,0.184,0.0515,0.165
2.53,-1.71,1.54,-2.23,0.61,2.33,-0.0869,0.143,0.161
-2.15,-0.0651,1.26,0.881,-1.07,2.71,-0.0717,0.0725,0.0303
1.36,1.05,1.37,1.5,-0.63,1.04,0.0417,-0.216,0.32
2.09,-0.185,1.65,-0.119,1.56,0.212,0.0372,-0.03,0.384
-0.219,-0.547,1.82,0.0135,1.35,5.44,-0.107,0.0259,0.403
-0.477,-1.7,1.78,2.75,1.66,2.81,0.157,-0.0185,0.253
